BNP FP Equity,PX_LAST,6MO_PUT_IMP_VOL
2020790,33.18,44.295
2020791,32.78,44.295
2020792,32.96,44.295
2020793,33.05,44.295
2020794,34.24,44.295
2020795,34.03,44.295
2020796,34.19,44.295
2020797,33.49,44.295
2020798,33.1,44.295
2020799,32.4,44.295
2020800,32.27,44.295
2020801,31.82,44.295
2020802,32.26,44.295
2020803,32.54,44.295
2020804,32.17,44.295
2020805,32.81,44.295
2020806,32.43,44.295
2020807,32.64,44.295
2020808,32.46,44.295
2020809,32.53,44.295
2020810,32.69,44.295
2020811,33.22,44.295
2020812,33.08,44.295
2020813,33.12,44.295
2020814,33.38,44.295
2020815,33.28,44.295
2020816,33.02,44.295
2020817,33.2,44.295
2020818,33.48,44.295
2020819,33,44.295
2020820,32.64,44.295
2020821,32.14,44.295
2020822,32,44.295
2020823,32.04,44.295
2020824,31.96,44.295
2020825,32.51,44.295
2020826,32.4,44.295
2020827,32.24,44.295
2020828,32.47,44.295
2020829,32.56,44.295
2020830,32.4,44.295
2020831,32.95,44.295
2020832,32.74,44.295
2020833,33.51,44.295
2020834,34.22,44.295
2020835,34.53,44.295
2020836,34.34,44.295
2020837,34.28,44.295
2020838,34.28,44.295
2020839,34.47,44.295
2020840,35.21,44.295
2020841,36.23,44.295
2020842,36.07,44.295
2020843,36.03,44.295
2020844,35.58,44.295
2020845,35.93,44.295
2020846,35.83,44.295
2020847,36.01,44.295
2020848,35.72,44.295
2020849,35.61,44.295
2020850,35.91,44.295
2020851,36.23,44.295
2020852,36.03,44.295
2020853,35.79,44.295
2020854,35.17,44.295
2020855,35.53,44.295
2020856,35.13,44.295
2020857,35.25,44.295
2020858,34.74,44.295
2020859,35.04,44.295
2020860,34.92,44.295
2020861,33.71,44.295
2020862,33.98,44.295
2020863,34.13,44.295
2020864,33.42,44.295
2020865,32.96,44.295
2020866,32.59,44.295
2020867,32.37,44.295
2020868,32.37,44.295
2020869,32.49,44.295
2020870,30.99,44.295
2020871,30.32,44.295
2020872,31.36,44.295
2020873,31.4,44.295
2020874,32.22,44.295
2020875,32.34,44.295
2020876,32.83,44.295
2020877,33.03,44.295
2020878,32.61,44.295
2020879,33.04,44.295
2020880,32.34,44.295
2020881,32.33,44.295
2020882,33.45,44.295
2020883,32.93,44.295
2020884,32.51,44.295
2020885,33.13,44.295
2020886,33.1,44.295
2020887,32.47,44.295
2020888,32.13,44.295
2020889,32.07,44.295
2020890,31.29,44.295
2020891,31.39,44.295
2020892,31.72,44.295
2020893,31.92,44.295
2020894,32.27,44.295
2020895,32.45,44.295
2020896,31.9,44.295
2020897,33.14,44.295
2020898,33.49,44.295
2020899,34.1,44.295
2020900,33.81,44.295
2020901,34.21,44.295
2020902,34.4,44.295
2020903,33.82,44.295
2020904,34.04,44.295
2020905,34.06,44.295
2020906,33.27,44.295
2020907,34.64,44.295
2020908,34.52,44.295
2020909,33.34,44.295
2020910,32.99,44.295
2020911,32.99,44.295
2020912,32.15,44.295
2020913,30.99,44.295
2020914,31.85,44.295
2020915,31.68,44.295
2020916,32.85,44.295
2020917,32.32,44.295
2020918,32.49,44.295
2020919,33.09,44.295
2020920,33.08,44.295
2020921,33.42,44.295
2020922,32.58,44.295
2020923,32.86,44.295
2020924,32.98,44.295
2020925,31.38,44.295
2020926,30.56,44.295
2020927,30.04,44.295
2020928,31.02,44.295
2020929,29.98,44.295
2020930,30.22,44.295
2020931,30.92,44.295
2020932,29.98,44.295
2020933,30.75,44.295
2020934,30.68,44.295
2020935,31.1,44.295
2020936,31.85,44.295
2020937,32.2,44.295
2020938,32.96,44.295
2020939,32.69,44.295
2020940,32.91,44.295
2020941,32.59,44.295
2020942,31.69,44.295
2020943,31.79,44.295
2020944,31.21,44.295
2020945,31.49,44.295
2020946,32.29,44.295
2020947,32.56,44.295
2020948,31.36,44.295
2020949,31.47,44.295
2020950,30.49,44.295
2020951,30.8,44.295
2020952,30.73,44.295
2020953,31.52,44.295
2020954,32.3,44.295
2020955,32.81,44.295
2020956,33.04,44.295
2020957,33.96,44.295
2020958,34.31,44.295
2020959,34.22,44.295
2020960,34.53,44.295
2020961,34.68,44.295
2020962,34.02,44.295
2020963,34.43,44.295
2020964,34.75,44.295
2020965,35.05,44.295
2020966,33.96,44.295
2020967,34.64,44.295
2020968,34.78,44.295
2020969,34.74,44.295
2020970,34.66,44.295
2020971,34.05,44.295
2020972,34.7,44.295
2020973,34.42,44.295
2020974,34.48,44.295
2020975,34.99,44.295
2020976,34.88,44.295
2020977,34.86,44.295
2020978,35.33,44.295
2020979,36.01,44.295
2020980,36.39,44.295
2020981,37.23,44.295
2020982,36.59,44.295
2020983,36.77,44.295
2020984,37.49,44.295
2020985,38.2,44.295
2020986,37.74,44.295
2020987,38.05,44.295
2020988,38.19,44.295
2020989,38.15,44.295
2020990,38.47,44.295
2020991,38.65,44.295
2020992,38.19,44.295
2020993,38.44,44.295
2020994,37.89,44.295
2020995,38.12,44.295
2020996,37.58,44.295
2020997,36.77,44.295
2020998,37.41,44.295
2020999,37.09,44.295
2021000,38.7,44.295
2021001,38.7,44.295
2021002,39.35,44.295
2021003,39.47,44.295
2021004,39.1,44.295
2021005,38.26,44.295
2021006,37.65,44.295
2021007,37.86,44.295
2021008,36.72,44.295
2021009,37.38,44.295
2021010,37.59,44.295
2021011,38.3,44.295
2021012,37.93,44.295
2021013,37.43,44.295
2021014,37.35,44.295
2021015,37.96,44.295
2021016,37.85,44.295
2021017,37.79,44.295
2021018,38.3,44.295
2021019,38.94,44.295
2021020,38.68,44.295
2021021,39.05,44.295
2021022,38.52,44.295
2021023,38.07,44.295
2021024,38.68,44.295
2021025,38.47,44.295
2021026,37.63,44.295
2021027,37.57,44.295
2021028,38.04,44.295
2021029,38.89,44.295
2021030,38.6,44.295
2021031,37.88,44.295
2021032,37.42,44.295
2021033,37.26,44.295
2021034,38.06,44.295
2021035,38.38,44.295
2021036,37.88,44.295
2021037,36.96,44.295
2021038,36.77,44.295
2021039,36.4,44.295
2021040,36.36,44.295
2021041,36.73,44.295
2021042,38.58,44.295
2021043,39.29,44.295
2021044,38.95,44.295
2021045,39.07,44.295
2021046,39.48,44.295
2021047,37.55,44.295
2021048,37.1,44.295
2021049,37.93,44.295
2021050,37.48,44.295
2021051,37.18,44.295
2021052,35.6,44.295
2021053,34.59,44.295
2021054,34.89,44.295
2021055,35.88,44.295
2021056,37.33,44.295
2021057,38.2,44.295
2021058,38.61,44.295
2021059,38.56,44.295
2021060,39.42,44.295
2021061,39.26,44.295
2021062,39.36,44.295
2021063,39.08,44.295
2021064,38.94,44.295
2021065,39.11,44.295
2021066,39.19,44.295
2021067,38.16,44.295
2021068,38.88,44.295
2021069,38.52,44.295
2021070,39.5,44.295
2021071,40.63,44.295
2021072,40.79,44.295
2021073,40.94,44.295
2021074,41.41,44.295
2021075,41.57,44.295
2021076,41.27,44.295
2021077,41.41,44.295
2021078,40.86,44.295
2021079,39.68,44.295
2021080,40.21,44.295
2021081,39.84,44.295
2021082,40.5,44.295
2021083,40.65,44.295
2021084,40.38,44.295
2021085,39.61,44.295
2021086,38.07,44.295
2021087,36.2,44.295
2021088,38.01,44.295
2021089,37.73,44.295
2021090,38.74,44.295
2021091,38.81,44.295
2021092,38.55,44.295
